longitude,latitude,utmk_x,utmk_y
126.86729044076208,37.49264457839287,944258.2822489626,1943591.9339823427
126.86994033408905,37.48827860632031,944489.3030911197,1943105.978240258
126.87107433293363,37.48498460485615,944587.1194671566,1942739.85627204
126.87224715980688,37.48155646695625,944688.2787603713,1942358.831160423
126.87384450347736,37.47787778957991,944826.7982039709,1941949.7624185767
126.87603953399389,37.474549407770226,945018.4376364783,1941579.2103105218
126.87882259513424,37.470858835961394,945261.8272420159,1941168.1376053009
126.8812918294484,37.46795837037142,945478.0637979639,1940844.9124183045
126.8839831443014,37.46486802998999,945713.8191996187,1940500.4994450568
126.88665105245241,37.461723982739265,945947.4855922466,1940150.1485088996
126.89314338254316,37.45201034532303,946514.7204285562,1939068.7698099136
126.89509282313912,37.43877971241227,946677.7451122004,1937599.8025025933
126.89265150648514,37.44584267855437,946466.8143273155,1938384.7825620696
126.8912520245658,37.447971100520036,946344.546636566,1938621.7108080117
126.8893878165677,37.450713731981566,946181.6184187605,1938927.0544206179
126.88722887829726,37.45361672333051,945992.7498049681,1939250.3616255026
126.88567455763473,37.45578424780962,945856.8396232786,1939491.7294414756
126.88237007319549,37.459368763275776,945567.1783840326,1939891.3179942786
126.87978648238489,37.46257691926818,945341.0209481636,1940248.7478105803
126.87712147013121,37.46565659118485,945107.5943506045,1940591.9676075308
126.87468138528745,37.46849887891808,944893.8973365856,1940908.7355058684
126.87286769972206,37.47105438654368,944735.4008493908,1941193.314816201
126.87286170789548,37.47402489252376,944737.0607411166,1941522.880416246
126.86737344983555,37.473480132911035,944251.3685349823,1941465.680830028
126.86857411975927,37.4700931709081,944355.0221186754,1941089.2041630854
126.86867480064575,37.466889392298995,944361.5478036072,1940733.7023226768
126.8705835038611,37.46426391955133,944528.3946005449,1940441.2930399291
126.87301460219322,37.46264942405829,944742.1946826574,1940260.7475868585
126.87605631187576,37.460574391382686,945009.6704145836,1940028.751912151
126.87883565728038,37.4574523546581,945253.1930958894,1939680.75840009
126.88139668117128,37.45422032430422,945477.3495109965,1939320.6909906429
126.8815261609194,37.44863334122738,945484.7392518852,1938700.776670723
126.87934175973692,37.441196370033325,945286.1039459299,1937876.950617679
126.87944892229775,37.448766691259294,945301.09919713,1938716.776372427
126.88009457505007,37.443904915651956,945354.6712311219,1938177.0106202206
126.87921770426604,37.43849023429442,945273.1539714064,1937576.79762602
126.8795504918869,37.436569444273985,945301.1969941302,1937363.4992149535
126.8864015615661,37.4318938062246,945903.9176377396,1936840.8113476385
126.88494775382856,37.43621652715652,945778.4208289903,1937321.2227981195
126.89102964449853,37.43564296011924,946316.0587149102,1937254.1033296646
126.8795430956114,37.43185808672067,945297.1070220266,1936840.8113476385
126.87943138048074,37.4342159193105,945288.9415936642,1937102.4636113693
126.88112490340268,37.42763120009555,945433.9844138785,1936370.941370026
126.88184402939021,37.422860170504094,945494.1480580983,1935841.2085807952
126.88550191309662,37.422238474137686,945817.3599865326,1935770.1242909045
126.88841841775798,37.42062803469136,946074.2668256743,1935589.7820445998
126.88458157886902,37.42047456627927,945734.6509883166,1935574.9596936936
126.88483438984036,37.413822811137806,945752.2149838116,1934836.8487092184
126.88279703137206,37.41471355866997,945572.5671041596,1934936.846844868
126.87868567565884,37.4154491992038,945209.2791697524,1935020.8452788135
126.84960014941043,37.41644828801415,942636.2146442382,1935149.0004199173
126.84543454140538,37.42526888061183,942274.37624119,1936130.137002108
126.8470962272828,37.43222450850159,942426.7331226992,1936900.810229028
126.84683779426479,37.44170428585874,942411.1445282024,1937952.6903084028
126.84483169012861,37.45383943548068,942243.0235355989,1939300.2471108397
126.84590225316089,37.46229584154472,942344.211404981,1940237.7835820706
126.84789817385041,37.467893579699144,942525.0143793662,1940857.6021402325
126.85360654986056,37.4691358786852,943030.7505207834,1940991.9565860606
126.84445344728505,37.471220397409674,942222.9603354962,1941228.805577711
126.85123353435688,37.472598205877205,942823.5484047179,1941377.5236757556
126.8516174708102,37.47346429456149,942858.1579428809,1941473.3784913989
126.8523075671385,37.47494744754951,942920.3079736627,1941637.5077719828
126.8534326271897,37.47736254016158,943021.6235243203,1941904.7679421701
126.8544076545126,37.47942239214952,943109.3950653768,1942132.7126862209
126.85544208006723,37.48172187373689,943202.600705101,1942387.1987485006
126.85663575643912,37.4843646987392,943310.1373313869,1942679.686869523
126.85657816243429,37.48537784257695,943305.8119058553,1942792.1249193288
126.85755274141664,37.47852932648192,943386.798092632,1942031.7337510025
126.86652062004663,37.48408951820968,944183.8595519221,1942643.2439745828
126.8630081131548,37.47687313609597,943867.908335018,1941844.7180555495
126.86622579857436,37.47544827017097,944151.3527673576,1941684.72103851
126.86942220701842,37.47654693230186,944434.7971996974,1941804.7188012896
126.87001460229712,37.473752010567445,944485.1068923912,1941494.2868846797
126.86501983736088,37.481331816019626,944049.1151097114,1942338.1825514592
126.86591290304091,37.48609591285852,944131.6265976112,1942866.2043805872
126.85858471785036,37.48078026300581,943479.7431012122,1942280.8384343616
126.86488869433192,37.45188921773099,944015.540086697,1939071.7651887168
126.84961761026022,37.480793635554434,942686.927365664,1942287.7488301848
126.8605633598552,37.477653131452485,943652.3308794358,1941932.7164149212
